Date,AAPL,MSFT,GOOGL,META
2025-04-17 00:00:00-04:00,196.72203063964844,367.1060485839844,150.97723388671875,501.0944519042969
2025-04-21 00:00:00-04:00,192.9070281982422,358.4619140625,147.49143981933594,484.2873840332031
2025-04-22 00:00:00-04:00,199.47842407226562,366.1478271484375,151.28684997558594,499.8953552246094
2025-04-23 00:00:00-04:00,204.33206176757812,373.7039489746094,155.16217041015625,519.8699951171875
2025-04-24 00:00:00-04:00,208.09710693359375,386.59027099609375,159.08740234375,532.7401123046875
2025-04-25 00:00:00-04:00,209.00592041015625,391.1319580078125,161.76417541503906,546.8492431640625
2025-04-28 00:00:00-04:00,209.8647918701172,390.4432067871094,160.41580200195312,549.3173217773438
2025-04-29 00:00:00-04:00,210.9333953857422,393.31793212890625,159.9663543701172,554.0137329101562
2025-04-30 00:00:00-04:00,212.22171020507812,394.53570556640625,158.6079864501953,548.577880859375
2025-05-01 00:00:00-04:00,213.04063415527344,424.6204528808594,161.10496520996094,571.7700805664062
2025-05-02 00:00:00-04:00,205.08106994628906,434.48236083984375,163.8316650390625,596.56103515625
2025-05-05 00:00:00-04:00,198.62953186035156,435.3707275390625,164.01145935058594,598.8092651367188
2025-05-06 00:00:00-04:00,198.25001525878906,432.5159606933594,163.03262329101562,586.8584594726562
2025-05-07 00:00:00-04:00,195.99298095703125,432.555908203125,151.19696044921875,596.3511352539062
2025-05-08 00:00:00-04:00,197.2313690185547,437.3670654296875,154.0934600830078,597.5502319335938
2025-05-09 00:00:00-04:00,198.27000427246094,437.9260559082031,152.5653076171875,592.0344848632812
2025-05-12 00:00:00-04:00,210.7899932861328,448.4367370605469,158.26840209960938,638.9383544921875
2025-05-13 00:00:00-04:00,212.92999267578125,448.3169860839844,159.33709716796875,655.525634765625
2025-05-14 00:00:00-04:00,212.3300018310547,452.1099853515625,165.1700439453125,658.85302734375
2025-05-15 00:00:00-04:00,211.4499969482422,453.1300048828125,163.76174926757812,643.3849487304688
2025-05-16 00:00:00-04:00,211.25999450683594,454.2699890136719,165.9890594482422,639.8477172851562
2025-05-19 00:00:00-04:00,208.77999877929688,458.8699951171875,166.338623046875,639.9376220703125
2025-05-20 00:00:00-04:00,206.86000061035156,458.1700134277344,163.78172302246094,636.6101684570312
2025-05-21 00:00:00-04:00,202.08999633789062,452.57000732421875,168.35618591308594,635.0114135742188
2025-05-22 00:00:00-04:00,201.36000061035156,454.8599853515625,170.66339111328125,636.08056640625
2025-05-23 00:00:00-04:00,195.27000427246094,450.17999267578125,168.26629638671875,626.577880859375
2025-05-27 00:00:00-04:00,200.2100067138672,460.69000244140625,172.69093322753906,641.826171875
2025-05-28 00:00:00-04:00,200.4199981689453,457.3599853515625,172.15159606933594,643.085205078125
2025-05-29 00:00:00-04:00,199.9499969482422,458.67999267578125,171.65219116210938,644.5540771484375
2025-05-30 00:00:00-04:00,200.85000610351562,460.3599853515625,171.5323486328125,646.9921875
2025-06-02 00:00:00-04:00,201.6999969482422,461.9700012207031,168.82562255859375,670.3842163085938
2025-06-03 00:00:00-04:00,203.27000427246094,462.9700012207031,165.97906494140625,666.3372802734375
2025-06-04 00:00:00-04:00,202.82000732421875,463.8699951171875,167.8468017578125,687.4210815429688
2025-06-05 00:00:00-04:00,200.6300048828125,467.67999267578125,168.00662231445312,684.0936279296875
2025-06-06 00:00:00-04:00,203.9199981689453,470.3800048828125,173.46998596191406,697.173583984375
2025-06-09 00:00:00-04:00,201.4499969482422,472.75,176.08999633789062,693.5263671875
2025-06-10 00:00:00-04:00,202.6699981689453,470.9200134277344,178.60000610351562,701.8599853515625
2025-06-11 00:00:00-04:00,198.77999877929688,472.6199951171875,177.35000610351562,693.6063232421875
2025-06-12 00:00:00-04:00,199.1999969482422,478.8699951171875,175.6999969482422,692.826904296875
2025-06-13 00:00:00-04:00,196.4499969482422,474.9599914550781,174.6699981689453,682.344970703125
2025-06-16 00:00:00-04:00,198.4199981689453,479.1400146484375,176.77000427246094,702.1199951171875
2025-06-17 00:00:00-04:00,195.63999938964844,478.0400085449219,175.9499969482422,697.22998046875
2025-06-18 00:00:00-04:00,196.5800018310547,480.239990234375,173.32000732421875,695.77001953125
2025-06-20 00:00:00-04:00,201.0,477.3999938964844,166.63999938964844,682.3499755859375
2025-06-23 00:00:00-04:00,201.5,486.0,165.19000244140625,698.530029296875
2025-06-24 00:00:00-04:00,200.3000030517578,490.1099853515625,166.77000427246094,712.2000122070312
2025-06-25 00:00:00-04:00,201.55999755859375,492.2699890136719,170.67999267578125,708.6799926757812
2025-06-26 00:00:00-04:00,201.0,497.45001220703125,173.5399932861328,726.0900268554688
2025-06-27 00:00:00-04:00,201.0800018310547,495.94000244140625,178.52999877929688,733.6300048828125
2025-06-30 00:00:00-04:00,205.1699981689453,497.4100036621094,176.22999572753906,738.0900268554688
2025-07-01 00:00:00-04:00,207.82000732421875,492.04998779296875,175.83999633789062,719.219970703125
2025-07-02 00:00:00-04:00,212.44000244140625,491.0899963378906,178.63999938964844,713.5700073242188
2025-07-03 00:00:00-04:00,213.5500030517578,498.8399963378906,179.52999877929688,719.010009765625
2025-07-07 00:00:00-04:00,209.9499969482422,497.7200012207031,176.7899932861328,718.3499755859375
2025-07-08 00:00:00-04:00,210.00999450683594,496.6199951171875,174.36000061035156,720.6699829101562
2025-07-09 00:00:00-04:00,211.13999938964844,503.510009765625,176.6199951171875,732.780029296875
2025-07-10 00:00:00-04:00,212.41000366210938,501.4800109863281,177.6199951171875,727.239990234375
