ticker,pe_ttm,pb,dividendyield,close,date
AAPL,32.57165,46.770294,0.51,209.11000061035156,2025-07-16
MSFT,39.05946,11.681756,0.67,505.82000732421875,2025-07-16
GOOGL,20.335196,6.4073224,0.48,182.0,2025-07-16
META,27.782167,9.686652,0.28,710.3900146484375,2025-07-16
