ticker,pe_ttm,pb,dividendyield,close,date
AAPL,33.046803,47.378662,0.51,211.83900451660156,2025-07-11
MSFT,38.819553,11.60104,0.67,502.32501220703125,2025-07-11
GOOGL,19.826817,6.2471395,0.48,177.4499969482422,2025-07-11
META,27.96875,9.763148,0.28,716.0,2025-07-11
